no_grocery_stores_2009,no_convenience_stores_2009,fast_food_no_2009,snap_benefits_2010_dollars_per_capita,adult_obesity_2008_percentage,median_income_2015,SNAP_stores_2012,WIC_stores_2008,Full_service_rest_2009,diabetes_percentage_2008,soda_sales_tax_2014,FOODINSEC_10_12,Rec_facilities_count_2009,Low_access_to_store_count_2010,Low_access_to_store_no_car_count_2010,Fast_food_expenditure_per_capita,SNAP_redemption_2012_dollars_per_store,LACCESS_HISP15,LACCESS_CHILD10,REDEMP_SNAPS16,LACCESS_WHITE15,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_SENIORS_10_15,PCH_LACCESS_POP_10_15,PCH_LACCESS_LOWI_10_15
4,16,10,25,29,40,28,4,6,12,0,17,1,2277,295,750,135571,121,567,161965,2003,2277,2206,-4,-3.129667833,30.65054166
3,9,6,19,28,56,11,1,6,10,0,17,2,0,134,750,131679,0,0,104668,5,0,5,,,
8,42,32,29,28,39,64,7,29,12,0,17,3,4735,544,750,295220,476,1250,252464,3703,4735,4895,3,3.36390936,-5.35355904
2,12,9,20,31,39,19,2,7,13,0,17,0,1212,64,750,173218,18,292,177132,813,1212,1212,0,0,-12.73103608
2,21,9,25,29,44,23,4,19,13,0,17,1,741,223,750,244183,13,150,142731,313,741,637,-15,-13.95132647,-3.666204554
0,5,0,35,32,30,6,0,0,14,0,17,0,872,121,750,31677,13,189,,326,872,879,1,0.747292282,-13.66933785
5,15,15,16,26,41,19,4,24,12,0,17,1,116,133,750,239046,1,18,202370,96,116,96,-29,-17.11263132,-6.631202872
1,5,6,33,34,31,10,4,6,15,0,17,0,471,221,750,258453,27,93,162125,721,471,1856,370,294.2202922,370.6844803
37,116,146,36,33,41,211,37,135,12,0,17,12,67308,1516,750,421035,3984,16941,352792,29002,67308,78927,10,17.26293161,43.49255626
18,46,79,27,30,52,77,15,81,11,0,17,7,39854,798,750,480317,4037,10845,357700,15926,39854,35030,-12,-12.10311106,10.33426107
1,2,3,19,30,42,5,1,1,11,0,17,0,44,85,750,182458,0,7,378474,21,44,28,-56,-37.43201961,-46.22286317
3,13,8,34,31,36,23,3,10,14,0,17,0,3131,406,750,201993,49,843,182846,1627,3131,3024,-3,-3.420883996,0.382106942
3,8,5,36,30,32,17,4,4,14,0,17,0,641,147,750,249335,8,144,312555,382,641,490,-15,-23.55094124,-16.10584154
14,47,38,37,32,41,64,13,41,12,0,17,5,10916,802,750,539499,231,2794,407404,5804,10916,10011,-7,-8.28677597,5.345839273
3,20,15,31,33,39,30,6,22,13,0,17,3,2690,356,750,415827,70,612,329761,2368,2690,3479,38,29.34843767,30.22663188
0,7,2,30,33,29,5,5,3,17,0,17,0,1034,206,750,351800,11,207,200194,302,1034,595,-37,-42.46610742,-15.17579009
7,26,17,43,30,34,46,10,24,13,0,17,1,7427,925,750,427659,218,1655,297590,2716,7427,7064,-1,-4.891745905,19.45936886
2,4,1,31,33,34,7,1,1,15,0,17,1,306,330,750,52648,25,52,47835,360,306,1512,362,394.4852687,405.6511802
0,3,1,40,32,29,3,0,0,16,0,17,0,1184,100,750,,30,206,,432,1184,1172,-2,-0.951891694,-4.637034956
6,27,7,20,31,37,37,7,5,12,0,17,0,954,473,750,142032,27,221,132839,740,954,998,5,4.603218608,0.251215512
3,6,5,34,32,32,12,4,2,14,0,17,0,653,132,750,178763,7,85,113052,196,653,410,-46,-37.14515118,-45.63702701
3,11,8,22,30,31,21,6,5,12,0,17,0,1370,341,750,219070,21,311,180557,242,1370,379,-70,-72.29601751,-69.46923432
4,9,4,49,35,32,16,3,3,14,0,17,0,116,209,750,288724,7,24,346126,89,116,630,248,441.8959351,836.6364369
11,40,35,28,31,40,71,12,27,13,0,17,7,12043,856,750,259411,447,3143,225674,6914,12043,12238,2,1.622624869,0.111309496
7,52,42,30,34,40,74,12,30,12,0,17,6,3927,417,750,291212,190,1071,258574,1225,3927,3447,-1,-12.21580211,-16.96390688
8,29,27,36,30,35,44,10,21,13,0,17,0,4540,396,750,403991,498,1253,366558,3374,4540,4933,6,8.661673074,12.78993608
2,11,6,18,26,40,12,3,22,12,0,17,0,1,145,750,143928,0,0,97194,1,1,1,,27.83886039,41.55615685
1,11,3,34,31,32,10,4,0,12,0,17,0,1012,96,750,135132,5,219,104517,199,1012,394,-64,-61.04286326,-75.78950269
16,59,55,27,31,41,68,15,51,13,0,17,3,9862,703,750,406859,329,2615,275314,6122,9862,10881,1,10.33510717,13.66727444
2,17,6,38,32,35,15,1,6,13,0,17,0,724,112,750,159054,10,168,111571,294,724,528,-33,-27.05407225,-13.29478334
1,10,1,29,31,36,10,3,2,13,0,17,0,98,252,750,83440,0,23,57432,9,98,15,-84,-84.67993941,-85.00260409
5,17,14,18,27,43,22,5,17,14,0,17,2,7,309,750,272271,5,1,190142,291,7,297,4209,3931.919454,4115.52164
8,16,18,34,30,38,40,8,19,13,0,17,1,4930,564,750,300863,168,1246,216550,3906,4930,6801,35,37.95751381,74.97644718
9,43,25,22,30,42,69,10,24,12,0,17,5,17467,812,750,213248,349,4222,173943,16274,17467,17530,0,0.359838221,14.93140357
8,49,45,22,28,57,68,13,38,10,0,17,3,15470,680,750,317372,514,4402,265394,11259,15470,14141,-9,-8.591459507,-16.10684203
7,42,28,29,29,35,58,10,30,12,0,17,6,13610,394,750,348120,566,2885,302990,10431,13610,14253,14,4.723394664,23.57110209
1,6,1,35,32,32,9,1,3,15,0,17,0,86,192,750,168883,0,16,125946,39,86,122,36,40.88416071,65.33910467
4,18,11,29,32,36,21,5,11,13,0,17,0,5635,375,750,398483,174,957,267105,2691,5635,5329,-5,-5.440864907,-17.40486016
4,24,26,31,30,41,37,8,20,11,0,17,2,8513,422,750,335203,446,2229,328187,7120,8513,8633,2,1.406019752,19.86452656
1,0,0,31,32,36,2,0,0,13,0,17,0,56,91,750,,0,16,,39,56,50,-6,-10.76867641,-0.802906755
3,5,1,24,31,31,6,2,2,11,0,17,0,12,79,750,107376,7,3,84405,314,12,366,1240,2953.491048,4740.263776
5,15,16,19,27,44,22,5,31,10,0,17,2,0,362,750,333607,,0,271317,,0,,,,
30,65,82,19,29,46,131,24,53,11,0,17,8,27693,668,750,278012,8060,8496,210283,17342,27693,23220,-13,-16.15095068,-12.65407157
1,10,1,28,32,32,10,2,1,12,0,17,0,69,254,750,121312,1,17,97352,56,69,73,46,6.00821077,20.11518529
4,7,6,30,30,34,14,4,5,15,0,17,0,3241,432,750,275792,83,700,191555,1008,3241,1964,-39,-39.39832406,-31.12702509
3,12,2,33,31,38,19,3,2,13,0,17,0,2020,231,750,102965,58,394,96672,1183,2020,2077,1,2.795442384,2.453458462
3,13,7,29,30,40,21,3,7,12,0,17,2,2450,300,750,266419,8,636,252395,1013,2450,1700,-30,-30.62054862,-35.01108894
40,78,146,43,22,55,159,30,143,7,4,14,13,68849,1770,1036,732193,8384,15879,765162,23540,68849,72139,5,4.779268818,23.47821787
184,263,920,19,21,77,602,72,719,8,4,14,52,189030,3266,1036,435859,22552,47810,462293,58745,189030,220465,5,16.62945828,30.58687266
0,0,0,0,24,0,0,0,0,12,4,14,0,0,0,1036,0,0,0,0,0,0,0,0,0,0
21,22,73,24,21,70,47,11,84,8,4,14,4,28205,501,1036,540070,2635,6778,513541,7665,28205,26305,-7,-6.735942004,4.251835764
40,52,135,0,23,69,97,19,183,8,4,14,15,55755,1260,1036,581519,4592,12904,455283,19041,55755,46070,-23,-17.36982093,-5.955896093
37,104,299,14,22,58,210,30,303,7,6,13,42,71884,861,571,383101,3543,19405,240322,62106,71884,67383,-7,-6.260943697,12.96176578
1,4,2,13,29,40,5,3,6,9,6,13,0,424,24,571,49602,6,65,52001,402,424,424,0,0,22.25661387
9,35,58,23,29,43,54,10,58,9,6,13,4,25194,402,571,480895,1327,7013,324316,22096,25194,23876,-6,-5.228792031,-1.898791506
3,7,4,10,23,48,5,2,7,8,6,13,0,1549,34,571,105881,36,386,121717,1480,1549,1549,0,0,-19.67454539
4,6,6,19,27,41,5,4,7,9,6,13,0,2583,45,571,283825,36,573,161075,2070,2583,2393,-7,-7.374498544,-34.46928161
7,13,20,19,30,50,19,7,16,11,6,13,2,9352,201,571,359106,1556,3079,199748,7988,9352,9323,0,-0.306916154,6.367545011
5,8,19,4,15,65,7,3,49,5,6,13,9,6105,42,571,168307,1929,1679,88605,4633,6105,6075,0,-0.488751772,34.00392663
3,5,1,6,29,53,7,2,12,9,6,13,1,6327,78,571,46319,181,1373,18585,4287,6327,4479,-28,-29.21516112,-16.22924716
11,24,22,17,22,44,27,5,44,8,6,13,8,7651,340,571,302448,170,1577,233159,7858,7651,8194,13,7.093898954,16.77414242
7,45,63,17,26,54,59,9,73,9,6,13,7,24727,563,571,570389,3126,8668,333851,21622,24727,24101,-1,-2.529549289,6.665113181
2,6,5,13,25,42,7,2,10,8,6,13,3,2011,67,571,254262,44,509,201229,1525,2011,1599,-26,-20.51478167,-20.75979607
1,5,3,13,27,44,3,1,3,10,6,13,0,605,7,571,,51,199,,581,605,618,4,2.199183255,15.11965989
1,0,3,6,25,46,1,0,2,8,6,13,0,1117,7,571,,75,240,,1051,1117,1117,0,0,28.91912921
20,50,92,27,30,45,109,16,70,8,6,13,6,39744,727,571,632829,7912,13004,401001,30862,39744,36485,1,-8.200438822,0.291226714
3,4,3,12,24,57,5,3,2,8,6,13,0,2190,33,571,103365,161,687,95294,2030,2190,2190,0,-0.003491287,-17.28479685
4,24,20,15,30,48,9,5,17,10,6,13,2,5399,79,571,337060,1239,1918,196452,5573,5399,6549,39,21.31204474,9.994682675
0,3,0,16,27,40,1,1,0,9,6,13,0,982,0,571,,398,308,0,711,982,982,0,0,8.993385183
4,6,4,14,27,43,7,4,10,10,6,13,0,1929,81,571,130111,60,347,120372,1453,1929,1545,-16,-19.86721301,-17.68678509
3,8,5,4,26,46,5,3,6,9,6,13,0,960,20,571,70944,61,160,57044,1833,960,1878,121,95.64622782,101.5846178
4,9,13,13,30,45,16,6,19,8,6,13,3,9310,52,571,303213,1044,2627,275883,7156,9310,8713,-47,-6.421611098,4.632948974
2,6,6,10,29,54,3,1,9,8,6,13,0,919,66,571,,32,321,,880,919,916,0,-0.37411068,14.08731849
2,5,6,17,22,50,6,2,10,8,6,13,1,1654,41,571,186902,302,350,78113,1448,1654,1634,-1,-1.206313917,1.472511916
1,6,13,20,30,44,15,1,10,9,6,13,3,6154,154,571,138141,298,1511,105523,4777,6154,5059,-10,-17.79305891,-9.51261734
4,5,6,14,28,49,9,4,9,9,6,13,0,2016,60,571,189812,53,490,102322,123,2016,164,-94,-91.84189385,-88.11344391
6,10,5,10,29,41,15,6,17,10,6,13,2,5584,102,571,109464,136,1032,68459,5347,5584,5584,0,0,-9.136703024
2,8,11,13,28,54,7,2,12,8,6,13,1,3048,176,571,230121,705,1175,188879,2506,3048,3058,1,0.330523362,21.31083003
1,11,10,20,28,47,11,2,9,9,6,13,1,4916,157,571,431494,1458,1586,174672,3975,4916,4903,-1,-0.262829585,22.39298177
16,48,104,17,25,49,82,14,122,8,6,13,23,34524,462,571,426890,1252,8906,320588,32451,34524,34069,2,-1.319512685,3.689925346
10,10,25,12,24,46,20,5,28,7,6,13,4,5786,191,571,310219,110,1325,179952,4182,5786,4402,-36,-23.91065535,-41.38752251
6,7,5,13,26,40,6,1,12,8,6,13,1,3310,138,571,199546,81,609,140000,2787,3310,2926,-10,-11.62241369,-20.21326517
3,2,2,22,27,42,4,3,4,10,6,13,0,1853,61,571,218016,35,376,121336,1754,1853,1853,0,-0.003632736,-7.812909861
2,3,1,10,30,46,2,2,4,8,6,13,0,5074,15,571,,1446,1665,45556,4062,5074,5074,0,0,11.33127626
3,12,28,13,24,38,13,3,12,6,6,13,1,6607,103,571,371131,432,1841,499554,6681,6607,7097,28,7.415762895,24.00721585
3,10,5,15,30,45,14,4,9,11,6,13,0,2536,120,571,328593,1401,828,211604,2694,2536,3533,52,39.31236004,38.85597427
9,18,27,13,30,51,28,7,29,11,6,13,6,6993,146,571,233997,149,1503,176428,6813,6993,7091,-5,1.40661486,-0.403963354
2,3,2,10,27,47,3,1,2,9,6,13,0,491,17,571,,25,138,71071,479,491,491,0,0,4.494095548
3,2,9,34,27,40,8,3,10,8,6,13,0,2056,62,571,218124,443,496,108768,1786,2056,2161,4,5.0709733,22.35493616
4,12,10,23,27,44,17,5,13,9,6,13,2,5407,146,571,121847,970,1648,99613,4741,5407,5407,0,-0.000257242,12.25151527
1,2,1,22,27,44,4,1,7,8,6,13,0,1085,5,571,169347,166,339,96689,884,1085,1085,0,0,0.008558449
6,13,7,25,30,37,9,5,19,9,6,13,2,552,82,571,379773,31,87,192442,1093,552,1144,66,107.1961212,126.6858858
1,5,7,7,21,58,3,1,15,7,6,13,4,906,13,571,,160,305,98889,753,906,906,0,-0.034856853,-21.07068232
17,37,55,18,26,46,46,12,57,10,6,13,9,7226,208,571,551869,843,2279,292024,4153,7226,4793,-28,-33.67031283,-34.6791445
5,12,7,8,27,52,7,3,24,9,6,13,3,1780,26,571,177588,44,399,87756,1771,1780,1836,6,3.131814941,-7.970069799
3,9,3,30,25,39,8,2,8,10,6,13,2,2133,49,571,203009,112,413,175520,2015,2133,2133,0,0,2.971436047
11,29,29,17,27,47,50,11,46,9,6,14,7,10505,346,630,351042,76,2544,340927,10035,10505,10346,-1,-1.511322104,-9.785491117
2,3,1,49,28,33,6,2,4,11,6,14,0,3859,238,630,285553,45,749,166008,1241,3859,1748,-58,-54.70032344,-40.23332657
3,10,6,17,28,50,17,4,15,9,6,14,1,2081,155,630,98060,44,495,85327,1201,2081,1281,-27,-38.4218653,-29.16979515
9,22,26,13,27,62,29,5,17,7,6,14,3,9064,178,630,348522,1695,2718,293660,9994,9064,11410,32,25.8777035,96.45219365
2,4,2,5,28,54,4,2,3,8,6,14,1,1910,52,630,132711,262,28,148437,533,1910,1663,138,-12.9699905,9.150058316
3,16,13,13,27,51,25,6,39,9,6,14,1,12483,511,630,153083,312,2867,149212,12175,12483,12511,1,0.226488328,-12.84367525
3,1,1,12,27,51,5,1,11,10,6,14,1,792,66,630,30394,7,161,,574,792,578,-27,-27.10105563,-7.830611373
3,12,11,15,27,50,10,2,9,10,6,14,0,1841,203,630,142131,67,396,102124,2790,1841,2881,46,56.47886917,70.11201192
5,10,7,13,28,47,16,4,13,9,6,14,0,1468,63,630,174395,23,352,173357,1497,1468,1528,9,4.095941401,-6.56493519
31,67,155,15,27,51,128,37,163,7,6,14,21,29430,939,630,325234,1799,7488,273532,24845,29430,31716,2,7.770669587,16.69556774
8,17,17,17,27,49,31,8,24,9,6,14,5,3502,239,630,268362,119,553,251048,3481,3502,3837,20,9.553907496,19.13150927
3,9,11,14,27,51,13,4,18,9,6,14,3,1417,156,630,217509,11,302,180314,1399,1417,1431,1,0.981446243,13.2832825
4,5,7,17,27,44,15,6,10,9,6,14,2,2133,66,630,183537,13,499,200381,2122,2133,2154,0,0.949628288,-28.37513012
11,24,21,9,28,64,37,8,29,9,6,14,2,4187,163,630,237417,368,677,225002,4489,4187,5729,76,36.84538409,36.51575595
5,20,41,16,27,43,36,12,40,7,6,14,8,7996,504,630,400601,158,1829,363866,7854,7996,8283,7,3.590327035,9.761492668
1400,1300,3955,24,25,57,3741,750,3533,9,6,14,417,415200,9315,630,449781,41892,101460,427157,256596,415200,373742,-8,-9.984937682,-3.529418898
5,8,9,15,27,50,14,6,13,9,6,14,2,2927,154,630,234825,152,412,212186,2045,2927,2948,1,0.733939699,-16.32585569
2,4,4,13,27,52,8,3,6,9,6,14,0,92,137,630,103568,,23,77276,,92,,,,
15,39,76,12,27,57,54,12,70,7,6,14,10,26415,1054,630,283362,2959,5277,241190,24367,26415,29776,17,12.72594577,9.850200713
4,5,8,13,27,55,14,5,15,9,6,14,3,716,43,630,186661,13,172,165676,632,716,653,-11,-8.806385992,-14.968403
11,9,14,11,28,53,17,3,20,9,6,14,1,1971,488,630,104605,53,452,82121,1933,1971,1971,0,0,8.619148374
172,308,800,8,25,82,401,116,701,8,6,14,113,250485,3105,630,252735,25632,61677,231465,169679,250485,216272,-19,-13.65856481,0.119316224
3,11,10,21,28,50,12,4,10,10,6,14,3,6745,227,630,393142,43,1423,278447,6584,6745,6684,-1,-0.90172807,17.64333855
3,4,6,11,27,48,8,2,1,9,6,14,0,1243,63,630,90281,13,314,77544,1213,1243,1243,0,0,101.7891056
9,19,31,13,27,53,24,7,22,9,6,14,3,5860,271,630,320119,80,1488,229779,5762,5860,5870,0,0.180200994,15.60631246
8,10,10,19,27,42,17,5,19,8,6,14,1,7108,237,630,308023,72,1729,303226,7504,7108,7660,6,7.761475462,10.99055226
3,8,12,12,28,53,12,3,13,9,6,14,3,2583,103,630,143131,46,626,111335,2522,2583,2590,0,0.260286866,38.52945866
6,23,23,27,27,43,41,10,29,10,6,14,6,4415,560,630,289596,50,984,221347,4173,4415,4242,-4,-3.918813163,-9.54435023
9,18,18,16,27,45,29,9,35,9,6,14,3,4614,306,630,253088,51,1044,256015,6195,4614,6302,29,36.591592,63.99361501
0,3,1,22,27,41,5,1,3,10,6,14,0,4856,147,630,54045,59,1033,,4103,4856,4205,-12,-13.41453573,-10.2975912
5,8,5,19,28,44,12,5,9,9,6,14,1,260,57,630,203303,7,60,184329,1627,260,1656,554,537.219597,1132.956476
6,20,31,8,28,72,31,9,28,8,6,14,15,9126,409,630,259650,677,2451,231982,8790,9126,9307,1,1.982798622,48.49175097
2,3,5,15,27,46,8,3,6,10,6,14,0,1547,26,630,104875,11,357,81710,1162,1547,1194,-31,-22.84822397,-25.21509049
6,13,8,13,27,48,23,6,10,9,6,14,1,10205,311,630,47525,40,2300,44215,7229,10205,7344,-30,-28.03455026,-20.43534221
1,2,1,20,27,39,4,2,8,9,6,14,0,1025,98,630,131508,2,187,,701,1025,715,-34,-30.27399776,-45.79017223
2,5,1,9,28,47,5,2,4,10,6,14,0,102,103,630,66405,0,22,74188,99,102,100,-6,-2.329259451,3.824338478
13,32,23,11,27,59,40,13,38,9,6,14,3,9452,476,630,179218,346,2386,175675,8809,9452,9344,7,-1.142600199,-3.831371339
8,15,21,17,28,50,24,5,24,9,6,14,2,4187,180,630,179437,580,1029,168478,6001,4187,6496,58,55.11716896,115.2669874
12,25,40,24,27,37,42,12,61,7,6,14,4,14240,867,630,482074,505,3017,364943,11186,14240,13247,-11,-6.976152082,6.675680131
1,5,5,11,27,53,7,2,6,9,6,14,1,1504,79,630,92232,12,369,84536,1421,1504,1449,-3,-3.647878984,-13.14573516
5,17,25,26,28,46,34,8,28,9,6,14,7,8697,667,630,356591,197,1862,320374,7681,8697,8548,-2,-1.714642206,0.77328869
4,7,13,13,27,54,12,3,15,8,6,14,0,3493,72,630,372582,34,764,283432,3490,3493,3598,2,2.983304152,2.620953468
7,14,12,9,26,51,9,5,39,9,6,14,0,4523,302,630,175325,133,999,120098,4370,4523,4522,0,-0.023718085,13.84510059
2,8,3,13,27,47,8,2,6,8,6,14,2,2221,89,630,140622,168,214,45375,1679,2221,2657,43,19.62605078,5.694016156
77,123,327,15,28,71,228,56,287,7,6,14,44,101403,1658,630,392939,17244,27446,314306,77702,101403,95266,-15,-6.051830795,11.34848087
22,45,78,23,28,53,83,20,63,9,6,14,18,16980,1130,630,426335,1319,4790,332017,10406,16980,14468,-13,-14.79305815,-19.10976548
13,18,53,7,25,89,44,17,50,6,6,14,13,27649,498,630,437572,2373,8237,461133,15546,27649,17971,-29,-35.00365762,-4.146329396
9,17,37,19,28,44,38,13,41,9,6,14,4,7394,374,630,363564,552,1386,350478,7755,7394,9510,25,28.60906675,58.71839595
120,194,535,10,25,82,314,91,464,8,6,14,110,254430,3473,630,332030,25694,68071,279534,203780,254430,248068,-10,-2.500488139,11.31147475
24,54,75,18,27,52,91,26,116,9,6,14,15,26677,901,630,294057,1796,6368,280207,22268,26677,23592,-12,-11.56455945,-5.872303528
3,6,5,15,27,43,9,5,11,9,6,14,0,2109,126,630,275687,18,492,259832,2345,2109,2394,10,13.49219784,-0.909671155
6,18,21,6,27,53,27,10,32,9,6,14,4,3793,285,630,249852,182,921,216197,3531,3793,3916,3,3.224973378,15.79898178
11,22,22,12,27,55,34,10,31,9,6,14,4,3338,245,630,186542,71,773,192462,3214,3338,3290,-1,-1.427596859,-4.277966641
6,10,17,18,29,58,24,7,26,8,6,14,1,9652,163,630,271601,476,1530,253677,8999,9652,11045,15,14.43002094,64.96064672
5,15,30,13,28,42,27,9,37,8,6,14,3,9394,413,630,246342,111,1255,239791,3658,9394,4131,-38,-56.02352051,-61.28688946
43,82,183,6,27,81,111,28,200,7,6,14,38,133011,1629,630,290137,13706,39164,244581,120134,133011,133295,1,0.213934576,10.81981468
28,70,99,13,28,66,113,25,125,7,6,14,18,46403,1074,630,259075,2651,10860,249169,38272,46403,46496,3,0.201054652,19.03068613
13,45,69,24,30,48,92,26,73,9,6,14,13,33167,1232,630,399799,442,7685,372374,26056,33167,29816,-3,-10.10451327,-18.37079778
10,27,20,15,29,50,38,15,28,9,6,14,4,4407,398,630,167218,75,1106,140411,7564,4407,7698,84,74.67684348,91.44763201
40,119,184,19,28,53,215,58,174,9,6,14,36,85509,2200,630,333343,3013,18906,295497,82464,85509,96437,12,12.77994169,25.16147315
5,18,28,27,27,43,38,12,23,9,6,14,5,10003,477,630,216102,166,2324,201985,10181,10003,10749,6,7.464358873,11.08414942
3,11,5,15,27,54,12,3,11,9,6,14,0,1718,111,630,71609,29,439,50032,2286,1718,2341,35,36.2163115,48.08072369
5,8,10,20,29,44,15,5,12,9,6,14,1,1035,72,630,136847,40,232,145173,4458,1035,4563,299,340.7287144,337.1507887
3,6,7,28,28,42,11,3,10,10,6,14,1,1943,177,630,287851,34,407,256682,1379,1943,1525,-19,-21.49544987,13.25883602
2,6,3,10,27,65,10,2,9,8,6,14,2,351,69,630,102291,5,57,79241,346,351,351,0,0,36.36807429
2,8,5,10,27,58,14,3,9,9,6,14,2,3783,239,630,53215,48,797,64339,2920,3783,2968,-15,-21.55238014,-21.21627897
4,12,20,3,27,80,17,6,24,8,6,14,4,6576,205,630,122604,133,1635,154810,9427,6576,9635,56,46.53246506,61.5587091
5,28,22,16,26,46,33,8,27,9,6,14,4,4562,313,630,257012,109,996,253808,6912,4562,7126,51,56.18953736,30.64067325
5,19,25,17,27,45,35,7,22,9,6,14,4,8930,294,630,275670,189,2163,281609,10580,8930,11483,19,28.59976539,49.54601377
2,6,5,10,27,59,10,5,9,9,6,14,1,439,334,630,110149,1,91,98010,440,439,449,4,2.169291378,2.589412143
8,29,26,17,27,57,36,5,46,8,6,14,5,6654,324,630,166488,1512,2023,147909,8438,6654,9409,88,41.39990141,77.93177426
41,66,124,22,27,54,139,42,158,10,6,14,17,55265,1640,630,351023,1347,13136,340876,37423,55265,47562,-14,-13.93712689,-1.935855993
4,9,7,20,28,47,17,6,15,9,6,14,3,4609,229,630,295977,78,1164,311859,4346,4609,4795,6,4.039337925,3.57411866
4,8,7,6,27,65,10,3,13,9,6,14,0,511,92,630,68480,3,120,61921,490,511,507,0,-0.798713063,55.79028114
5,11,8,15,26,45,17,5,14,9,6,14,1,3953,162,630,164370,24,960,132966,3001,3953,3030,-24,-23.34069978,-11.65676202
1,3,0,26,27,41,3,1,4,10,6,14,0,1328,100,630,,7,223,86470,1039,1328,1082,-17,-18.51118911,-5.221367947
5,4,1,36,28,35,7,3,3,11,6,14,0,3551,313,630,178060,21,745,109780,900,3551,1284,-63,-63.83498469,-59.63694173
2,5,0,9,27,61,5,1,10,9,6,14,2,0,41,630,39427,14,0,31254,645,0,656,6181696,22083757.71,22348934.36
8,17,17,16,27,50,27,4,24,8,6,14,5,4448,386,630,220371,158,943,200699,3431,4448,3836,-28,-13.77049285,-7.718330349
3,4,14,19,28,43,9,5,14,10,6,14,3,803,97,630,465734,4,150,361420,918,803,939,14,16.98079193,12.49937301
23,53,114,18,27,50,144,32,111,9,6,14,14,30120,1218,630,257564,3440,7021,261429,20454,30120,26108,-19,-13.31939799,-5.474615702
39,112,165,24,28,50,224,54,164,9,6,14,31,112883,4784,630,328513,3517,29806,313840,59833,112883,90849,-22,-19.51926782,-18.92332571
8,15,21,30,27,41,27,9,18,10,6,14,0,8689,496,630,425033,149,2051,353732,8888,8689,9728,12,11.95492912,19.636895
25,65,155,19,29,58,163,45,163,10,6,14,21,62373,1805,630,331275,678,14489,305945,44222,62373,47888,-22,-23.22329829,-27.1035073
1,3,4,12,26,51,7,1,5,9,6,14,0,1055,84,630,77406,5,238,70283,1049,1055,1067,1,1.122318124,-37.60998185
2,3,3,10,27,50,4,2,4,9,6,14,0,223,32,630,60036,10,47,51142,218,223,223,0,-0.235953306,32.32889118
5,13,6,11,27,50,19,4,19,9,6,14,1,3527,332,630,126638,48,902,113738,5357,3527,5434,88,54.07149799,55.37377898
2,3,0,10,27,50,6,2,4,10,6,14,0,1799,59,630,26925,26,487,35974,1754,1799,1799,0,0,-3.781976907
10,22,26,20,29,46,40,10,32,9,6,14,8,4194,446,630,340527,60,685,279449,3136,4194,3553,-4,-15.28090516,-18.12910359
14,54,92,12,26,58,89,28,99,9,6,14,18,54675,1454,630,358735,1194,12503,314295,55951,54675,58388,6,6.789812886,17.80567429
4,11,8,25,28,44,18,6,9,9,6,14,1,1402,252,630,310371,60,305,293590,2268,1402,2362,83,68.43156109,39.31936763
13,36,40,29,27,45,76,18,46,10,6,14,7,14337,1067,630,372672,481,3506,351372,10865,14337,11871,-20,-17.19946874,-16.74600157
2,5,7,16,27,51,9,3,5,9,6,14,2,1007,42,630,186847,17,225,148615,984,1007,1023,2,1.590194929,-8.383959808
6,6,10,17,27,46,18,4,13,9,6,14,1,128,112,630,169878,120,28,134005,1024,128,1177,879,821.4272967,1225.168837
8,8,8,7,28,57,15,4,9,9,6,14,1,1629,92,630,54759,23,325,49482,1598,1629,1628,0,-0.061604693,-5.00888922
3,9,6,16,28,48,16,5,11,9,6,14,2,3416,181,630,200441,24,840,173376,3305,3416,3359,-3,-1.672022757,-3.955839256
6,10,6,18,28,47,14,8,10,10,6,14,1,4384,389,630,233358,83,995,189759,4173,4384,4288,25,-2.202587713,2.787931081
9,23,30,15,26,45,44,11,50,9,6,14,7,9949,433,630,271223,1051,2175,252872,12311,9949,13052,29,31.18288013,44.53768776
86,162,438,11,29,76,288,90,317,8,6,14,71,242455,2895,630,358358,27552,71044,304574,166260,242455,217703,-11,-10.20881581,-0.446618737
16,31,41,24,28,48,49,16,46,9,6,14,5,11943,656,630,461989,182,2853,354570,8981,11943,9594,-26,-19.66669264,-26.1071974
55,112,202,26,28,50,227,42,201,9,6,14,24,72887,1384,630,447660,5997,17670,378330,65636,72887,76322,4,4.713277439,18.08561564
9,12,14,6,28,68,24,7,27,8,6,14,3,2901,177,630,60008,56,738,53521,4405,2901,4535,40,56.35271314,63.26021059
6,13,12,11,30,49,19,7,22,10,7,13,5,2455,1102,653,234483,154,482,160416,2856,2455,2973,7,21.11419847,20.07024673
45,112,216,18,30,50,252,29,244,10,7,13,55,117581,3642,653,368685,5431,31253,218543,88932,117581,107884,-6,-8.247112186,-2.84455363
18,28,59,13,30,56,58,10,53,10,7,13,9,18061,404,653,267435,1716,4684,171446,18672,18061,20968,12,16.09441838,41.47232275
2,4,4,17,29,51,6,2,3,11,7,13,0,106,33,653,103857,12,22,80341,128,106,140,24,32.43699668,126.0836223
6,7,5,20,29,40,12,5,8,11,7,13,1,258,60,653,253881,3,60,204091,263,258,271,-24,5.151844917,22.58859261
8,16,28,8,31,75,23,6,42,10,7,13,7,7606,194,653,235313,168,2542,119542,6452,7606,6750,3,-11.25036096,6.887425225
3,10,3,13,29,54,9,3,12,11,7,13,1,450,110,653,68284,13,104,61373,458,450,469,1,4.189974398,106.9475454
